	Song	Genre	Spotify_ID
0	Luther Vandross - If Only For One Night	adult contemporary	2p4WnpR3H16ywshkL2Fp1n
1	Duran Duran - Come Undone	adult contemporary	0yfNXxlyXdmP0ue1iJijx1
2	Tears For Fears - Shout	adult contemporary	2gQaQUhDCNGfBVXTvxAmXQ
3	Marvin Gaye - Sexual healing	adult contemporary	3VZmChrnVW8JK6ano4gSED
4	Jack Johnson - Better Together	adult contemporary	4VywXu6umkIQ2OS0m1I79y
5	The Dave Matthews Band - Digging A Ditch	adult contemporary	
6	Shakira - Underneath Your Clothes	adult contemporary	15f8Cv8RXUlOOCIf2oaceN
7	3 Doors Down - Here Without You (Live)	adult contemporary	3Vfg533JgnPXKADWBnAe0b
8	A-Ha - Take On Me	adult contemporary	2WfaOiMkCvy7F5fcp2zZ8L
9	After 7 - Ready Or Not	adult contemporary	6AgDFWLbbAt2migXMbrhXT
10	Alanis Morissette - Ironic (Acoustic Version)	adult contemporary	09033zNxK4Q75kYDw3Yuta
11	Alanis Morissette - Ironic	adult contemporary	1d6KS9GH06JAd19uiBy9IE
12	Anita Baker - Good Love	adult contemporary	3N9gMvqTuaZWRaE6JZHzqP
13	Anita Baker - No One To Blame	adult contemporary	
14	Annie Lennox - Waiting In Vain	adult contemporary	3SWpH05o2ow3GZkhd6EsMZ
15	Bill Medley - (I've Had) The Time Of My Life (feat. Jennifer Warnes)	adult contemporary	
16	Billie Myers - Kiss The Rain	adult contemporary	4wtHbIS26FOtpjMkaQQ8Zk
17	Bruce Springsteen - My Hometown	adult contemporary	6dahFmHrgncgVJjsI1ws7e
18	Cat Stevens - Wild World	adult contemporary	6Xz7FeyE8HTP90HecgHV57
19	Coldplay - Clocks	adult contemporary	0BCPKOYdS2jbQ8iyB56Zns
20	Corey Hart - Never Surrender	adult contemporary	5U5p472hgeXUKvh0d8RL4K
21	David Gray - Babylon	adult contemporary	5jLqVCGlKNYrLqCA1Qy4FV
22	Dido - Here With Me	adult contemporary	5kj1AhJxSUums4ddBEaMhT
23	Dido - Hunter	adult contemporary	5RfAE6BeGzLX9fIcuq8iAL
24	Dido - Mary's In India	adult contemporary	1A97QB99sOemWF46ZNvpmJ
25	Dido - White Flag	adult contemporary	3adnLFXKO5rC1lhUNSeg3N
26	Dobie Gray - Drift Away	adult contemporary	11YWR8tzDTR2P4KZ3lAySj
27	Duran Duran - Ordinary World	adult contemporary	0wokCRaKD0zPNhMRXAgVsr
28	Eric Carmen - Hungry Eyes	adult contemporary	31H6au3jhblhr6MMJiXnCq
29	Erykah Badu - Didn't Cha Know	adult contemporary	7pv80uUHfocFqfTytu1MVi
30	Freddie Jackson - You Are My Lady	adult contemporary	5MPxgVGxq79wcoNKtlRaTf
31	Hall & Oates - Private Eyes	adult contemporary	5HQ639Z3ms3hnZx0KfWnkp
32	Jack Johnson - Cocoon	adult contemporary	1SQzV8arwSEmshQ2FaMCy1
33	James Blunt - Carry You Home	adult contemporary	1zVBU0PAj7ZUVmVfG2pgQG
34	James Blunt - You're Beautiful	adult contemporary	0vg4WnUWvze6pBOJDTq99k
35	John Mayer - Belief	adult contemporary	35LDid9nvuYrUyZk5qGD0i
36	John Mayer - Clarity	adult contemporary	6atVS7UZBxoyJkkteM62u5
37	Kelly Clarkson - A Moment Like This	adult contemporary	4kvdX9zzsix7jYHsRVkVUH
38	Lifehouse - First Time	adult contemporary	40Fp6pxcS9l08kL1R50mR4
39	Luther Vandross - Always And Forever	adult contemporary	3xvcFlh6hHqxyiAFkqpsjZ
40	Luther Vandross - Don't Want To Be A Fool	adult contemporary	2rgMQNOF91LdmJClQAgqW9
41	Madonna - Crazy For You	adult contemporary	6B4oVElDIKRNcNUary0WG7
42	Madonna - Take A Bow (Silky Soul Mix)	adult contemporary	
43	Mariah Carey - I Still Believe	adult contemporary	1bUrdVhrxVzTuROudSTYVO
44	Marvin Gaye - Let's Get It On	adult contemporary	0jHkgTtTaqg5LNCiYDQPUB
45	Marvin Gaye - Mercy Mercy Me	adult contemporary	1dnTzkUEdwm9jrmdpKSfWU
46	Maxwell - Acension	adult contemporary	
47	Michael Jackson - Human Nature	adult contemporary	35lAjvsvS9k9HHuP1fjDT8
48	Michelle Branch - Everywhere	adult contemporary	1u0l8zWpQeMYStFkc2mLD7
49	Naked Eyes - Promises, Promises	adult contemporary	6n4t5iMFjHmA3ErCOLT9O8
50	P.M. Dawn - I'd Die Without You	adult contemporary	6FBlxkA9VKafooUNAi4W3p
51	Patti Labelle - Love, Need, And Want You	adult contemporary	2PMW9aVSHvMwUC428yfDqx
52	Patti Labelle - On My Own (feat. Michael McDonald)	adult contemporary	
53	Phil Collins - Another Day In Paradise (Live)	adult contemporary	7bj48SzqJPtfoR5W01C1lT
54	Phil Collins - Do You Remember?	adult contemporary	3TLtCHUaiMHcQcJVGVW2p2
55	Phil Collins - You'll Be In My Heart	adult contemporary	6kvnSiMBa65Nz29g2TYmyW
56	Robin Thicke - Lost Without U	adult contemporary	4V2F0DZrAXOWq9hkwMMG3x
57	Santana - Maria Maria	adult contemporary	3XKIUb7HzIF1Vu9usunMzc
58	Sarah McLachlan - Adia	adult contemporary	0rl84FuazRHYmK72krdmA1
59	Sarah McLachlan - Hold On (Live)	adult contemporary	1jPSRM9bETsC6uayiJACJ3
60	Savage Garden - Truly Madly Deeply	adult contemporary	013AWvizllIUEC2FOBzOnh
61	Seal - Love's Divine (Live)	adult contemporary	3DmyTNlTLsKgSXqVClEvNC
62	Seal - Wild	adult contemporary	0pGQs15pIZFfDyBljcEsjv
63	Simply Red - Holding Back The Years	adult contemporary	1yg7fwwYmx9DQ2TdXUmfpJ
64	Simply Red - If You Don't Know Me By Now	adult contemporary	7DFawVSjI88xR9mjnWwURg
65	Sixpence None The Richer - There She Goes	adult contemporary	43z6scIZU2QcEieMQFAJRG
66	Stephanie Mills - I Feel Good All Over	adult contemporary	1f14Tz6xCm7CoGcXykDX2A
67	Steve Winwood - While You See A Chance	adult contemporary	4JAFyW6oZV6DIADeV619QG
68	Taylor Dayne - Love Will Lead You Back	adult contemporary	3HLgjHYaEhKFvV4SSvI9Te
69	The Dave Matthews Band - Crash Into Me (Live)	adult contemporary	0xX6MaqzfUXrg9M9qnklfk
70	The Dave Matthews Band - What Would You Say	adult contemporary	6yu913P5J0mUmbX4ZDofEv
71	Tina Turner - What's Love Got To Do With It	adult contemporary	4kOfxxnW1ukZdsNbCKY9br
72	Tracy Chapman - Baby Can I Hold You	adult contemporary	2DjWsDGgL1xNbhnr7f6t5F
73	Radiohead - Packt Like Sardines In A Crushd Tin Box	all points west radio	0Fx5oTt6uONzGuntohu3xv
74	Alberta Cross - Low Man	all points west radio	1yNiyrqMIcFCsxiP5hqwwZ
75	Alberta Cross - The Devil's All You Ever Had	all points west radio	1AitT2SNAEjr3RPxtwpnSv
76	Andrew Bird - Imitosis	all points west radio	5FXLIKdvJE29otScgM8VD4
77	Animal Collective - Banshee Beat	all points west radio	6JOZHmPAfpB0drwuwFwPV9
78	Animal Collective - Leaf House	all points west radio	1aTmszUhNPI2jRPfb02pQM
79	Ben Harper & The Innocent Criminals - Having Wings	all points west radio	6vS6Rvb4RyAc0ZBGSA5GKy
80	Ben Jelen - Not My Plan	all points west radio	7mqflkimwV0tE0jZpVSKay
81	Ben Jelen - Where Do We Go	all points west radio	7kdnwAd8FMmRdeB4vayCc5
82	CSS - Let's Make Love And Listen To Death From Above	all points west radio	0VYEz3QEWELuILpeyzOF0A
83	Cat Power - The Greatest	all points west radio	6CAG3rBGPTAinoqgVD7fBJ
84	Chromeo - Bonafied Lovin' (Tough Guys)	all points west radio	46h3AWYLsNl32Hn0gPCCLT
85	Chromeo - Momma's Boy	all points west radio	2IKpIEmTRrnDxv4YQfml5l
86	Chromeo - Tenderoni	all points west radio	0iHxnDGfUSMtrWHZIGF9uL
87	De Novo Dahl - Piggy's Adventure	all points west radio	2i8tTL0aa6aSNYVmD1RDjg
88	De Novo Dahl - Piggy's Misadventure	all points west radio	2LVs5BmuVvi1eghPdk5hzN
89	Duffy - Serious	all points west radio	4LzWe91KPQtHsORdmf04c5
90	Duffy - Stepping Stone	all points west radio	5VWVS4c9oLaCFsFJ2yGkSn
91	Earl Greyhound - Good	all points west radio	5yBgeLWDhfyZh0XVqCEhCa
92	Earl Greyhound - S.O.S	all points west radio	3rvzVmPRHxbKXj9JFM2hIv
93	Earl Greyhound - Two Weeks	all points west radio	3ChJTzM94Y1icfshpTZXH7
94	Forro In The Dark - Asa Branca	all points west radio	07C23IPh3eQksmoFicoany
