,Unnamed: 0,energy,Performer_left,valence,time_signature,instrumentalness,tempo,Song_left,SongID,danceability,speechiness,acousticness,liveness,spotify_track_duration_ms,key,Genre,mode,loudness
0,0,0.588,Tones And I,0.513,4.0,0.000104,98.027,Dance Monkey,Dance MonkeyTones And I,0.8240000000000001,0.0924,0.6920000000000001,0.149,209438.0,6.0,pop,0.0,-6.4
1,2,0.762,Post Malone,0.5529999999999999,4.0,0.00244,120.042,Circles,CirclesPost Malone,0.695,0.0395,0.192,0.0863,215280.0,0.0,pop,1.0,-3.497
2,3,0.32,Maroon 5,0.575,4.0,0.0,91.019,Memories,MemoriesMaroon 5,0.764,0.0546,0.8370000000000001,0.0822,189486.0,11.0,pop,1.0,-7.209
3,4,0.225,Billie Eilish,0.243,4.0,0.657,120.006,everything i wanted,everything i wantedBillie Eilish,0.7040000000000001,0.0994,0.902,0.106,245425.0,6.0,pop,0.0,-14.454
4,5,0.625,Mariah Carey,0.34600000000000003,4.0,0.0,150.27700000000004,All I Want For Christmas Is You,All I Want For Christmas Is YouMariah Carey,0.335,0.0386,0.16399999999999998,0.0708,241106.0,7.0,pop,1.0,-7.4620000000000015
5,7,0.7929999999999999,Dua Lipa,0.677,4.0,0.0,123.941,Don't Start Now,Don't Start NowDua Lipa,0.794,0.0842,0.0125,0.0952,183290.0,11.0,pop,0.0,-4.521
6,8,0.425,Billie Eilish,0.562,4.0,0.13,135.128,Bad Guy,Bad GuyBillie Eilish,0.701,0.375,0.328,0.1,194087.0,7.0,pop,1.0,-10.965
7,10,0.7959999999999999,The Weeknd,0.345,4.0,0.000209,171.017,Blinding Lights,Blinding LightsThe Weeknd,0.513,0.0629,0.00147,0.0938,201573.0,1.0,pop,1.0,-4.075
8,11,0.34,Selena Gomez,0.0916,4.0,0.0,101.993,Lose You To Love Me,Lose You To Love MeSelena Gomez,0.505,0.0438,0.5760000000000001,0.21,206458.0,4.0,pop,1.0,-9.005
9,15,0.625,Mariah Carey,0.34600000000000003,4.0,0.0,150.27700000000004,All I Want For Christmas Is You,All I Want For Christmas Is YouMariah Carey,0.335,0.0386,0.16399999999999998,0.0708,241106.0,7.0,pop,1.0,-7.4620000000000015
